iter	Logloss
0	0.6689110398
1	0.6484760642
2	0.6212784052
3	0.5920312405
4	0.5659151673
5	0.5424641371
6	0.5214889646
7	0.4991554916
8	0.478302598
9	0.4621377885
10	0.447609365
11	0.4300548136
12	0.4148922861
13	0.3989087641
14	0.3855125904
15	0.3734323382
16	0.3604336381
17	0.3514086008
18	0.3421346247
19	0.3319506645
20	0.3206652403
21	0.3115522265
22	0.3031288683
23	0.2911241055
24	0.2820059955
25	0.273280412
26	0.2655838132
27	0.2542077899
28	0.2442440391
29	0.2370158285
30	0.2314648926
31	0.2240427881
32	0.2194518
33	0.2112636268
34	0.2040826678
35	0.1973156929
36	0.1929616481
37	0.1873721182
38	0.1837066859
39	0.1808940172
40	0.1772019863
41	0.1715674996
42	0.1664202213
43	0.1625095904
44	0.1570362449
45	0.1523753703
46	0.1495970339
47	0.1462677419
48	0.1433970183
49	0.1405716836
50	0.1366848946
51	0.1339659244
52	0.1303215921
53	0.1275869608
54	0.1260163486
55	0.1221719608
56	0.1206922233
57	0.1190450042
58	0.116560854
59	0.1142758727
60	0.1121339872
61	0.1100273281
62	0.1071949452
63	0.1060089767
64	0.1046148166
65	0.1029249281
66	0.1011067852
67	0.09964946657
68	0.09811188281
69	0.09657404572
70	0.09420235455
71	0.09278143942
72	0.0914222002
73	0.09002056718
74	0.08835860342
75	0.08739373833
76	0.08585733175
77	0.08462052047
78	0.08284790814
79	0.08150210977
80	0.08014325798
81	0.07884869725
82	0.07809176296
83	0.07678194344
84	0.07571396232
85	0.07478420436
86	0.07375009358
87	0.07261597365
88	0.07178072631
89	0.07071430981
90	0.06946326047
91	0.06858286262
92	0.06779672205
93	0.06623187661
94	0.06550744921
95	0.06441642344
96	0.06369444728
97	0.06307875365
98	0.06252991408
99	0.06160918251
